Product,Batch no.,PO,Line,Mill,RFT-ext.,RFT-Mill,Dosing,Suggestion Side feed,HT1,HT2,HT3,HT4,HT5,Screw speed,Torque,Outlet temp,Throughput ext.(kg/h),Feed,Sep.,Rotor,Air flow,Inlet temp.,Outlet temp.,FG. temp.,Throughput mill (kg/h)
R10116DN,3B13341011,P3B135007400,1,2,,/,0,8,32,51,83,82,83,650,38,,613.33,600,400,2500,98,,,,696
YN204PB,3B13352005,P3B135105800,3,4,,,0,10,30,52,79,83,78,650,24,,800,500,1000,3000,65,,,,180.3168507
YN204PA,3B13352004,P3B135203300,3,4,/,/,0,12,30,50,79,81,80,650,32,,0,500,1000,3000,65,,,,0
P10153DN,3B13355007,P3B135203900,1,2,/,/,0,,,,,,,,,,900,600,300,2600,98,,,,
MN232PA,3B13347016,P3B140104100,1,2,/,,0,10,32,50,83,80,84,650,40,,812.4664159,600,380,2800,98,,,,416.6666667
JA401TH,3B13355005,P3B140107100,8,13,,/,0,20,30,50,61,82,85,650,50,,0,10,1000,3645,60,,,,
MZ301TH,3B13356001,P3B140600200,9,9,/,/,0,,,,,,,,,,,10,1275,3645,60,,,,
S91409AN,3B13305014,P3B134412100,11,14,,,0,18,31,52,61,80,82,500,50,,,10,1120,3757,56,,,,
SZ200PB,3B13320006,P3B134804800,9,9,/,,12,,35,51,80,,,500,45,,147.376256,10,1300,3645,60,,,,0
JN201PB,3B13341021,P3B135104000,3,4,/,/,0,15,30,48,78,81,79,650,35,,200,500,750,2800,65,,,,70.45212536
GN208PA,3B13349002,P3B135105300,3,4,/,/,0,15,30,49,77,83,82,650,34,,0,500,1050,3000,65,,,,
GN208PB,3B13349003,P3B135105400,3,4,/,/,0,15,30,46,75,80,80,650,36,,0,600,1050,3000,65,,,,
MN232PB,3B13347017,P3B140104200,1,2,/,/,0,10,32,50,84,83,84,650,38,,721.1538462,600,370,2800,98,,,,1024.34952
JN203PB,3B13352002,P3B140105500,3,4,,,0,12,30,50,78,80,84,,,,189.8120588,400,650,2400,65,,,,
MN301TH,3B13354002,P3B140106200,2,3,/,/,0,,,,,,,,,,,500,1230,2900,65,,,,591.6334661
R91504WN,3B13355008,P3B140107200,8,13,,/,0,18,30,50,61,80,81,650,49,,630,10,1000,3645,60,,,,234.078026
P91223AN,3B13359007,P3B140108300,11,14,/,/,0,,,,,,,,,,,10,1190,3757,60,,,,
S89076IN,3B13352003,P3B140201100,8,13,,/,0,17,32,49,59,80,80,500,47,,0,10,820,3645,60,,,,0
P90079WN,3B13352016,P3B140201600,8,13,/,/,0,15,30,50,61,82,81,650,36,,217.6267848,10,900,3645,60,,,,217.6267848
MZ300TH,3B13359011,P3B140400500,9,9,/,/,0,,,,,,,,,,150,7,1380,3645,60,,,,153.3333333
JA004TH,3B13355019,P3B140600100,7,10,,,0,17,31,53,81,80,84,500,48,,982.6385665,600,440,2800,98,,,,821.8562874
SZ200PA,3B13320005,P3B134804700,9,9,,,12,,34,51,78,,,500,48,,0,10,1400,3645,60,,,,0
JI405TH,3B13337013,P3B135102000,8,13,,,0,18,31,51,65,82,85,400,61,,,10,930,3645,60,,,,
JN201PA,3B13341020,P3B135103900,3,4,/,,0,12,30,49,79,77,76,650,30,,177.2463513,500,1100,3000,65,,,,177.2463513
M90254AN,3B13349007,P3B135105500,11,14,,/,0,23,30,50,81,81,80,650,53,,504,12,1220,3757,60,,,,0
YN000TH,3B13355006,P3B135203800,3,3,,/,0,20,30,50,78,79,81,650,52,,0,500,1100,3000,65,,,,66.66666667
R10093XN,3B13348019,P3B140104800,1,3,,/,0,,,,,,,,,,205.4862843,600,430,3000,98,,,,533.33
M04251BN,3B13359010,P3B140108500,7,10,/,/,0,23,33,53,81,81,82,650,51,,1225.945946,700,450,3000,98,,,,571.4285714
ED003TH,3B13352012,P3B140201300,11,14,/,/,0,25,30,51,81,82,81,650,52,,658.1875994,12,1150,3757,60,,,,39.29273084
R70931TN,3B13360001,P3B140202700,8,13,/,/,0,14,30,50,59,80,81,500,41,,440,10,950,3645,60,,,,88.78658336
GN212PB,3B13360012,P3B140203200,3,4,,/,0,15,30,47,78,84,80,650,38,,205.5429999,500,990,2800,65,,,,205.5429999
